#    psi          Te
  0.0000e+00   2.8167e+00
  2.0345e-03   2.7768e+00
  4.3867e-03   2.6721e+00
  7.8899e-03   2.5250e+00
  1.3856e-02   2.3579e+00
  2.1898e-02   2.1924e+00
  3.1368e-02   2.0377e+00
  4.2529e-02   1.8936e+00
  5.5295e-02   1.7598e+00
  6.9618e-02   1.6358e+00
  8.5439e-02   1.5212e+00
  1.0270e-01   1.4156e+00
  1.2133e-01   1.3185e+00
  1.4126e-01   1.2296e+00
  1.6242e-01   1.1484e+00
  1.8471e-01   1.0745e+00
  2.0805e-01   1.0075e+00
  2.3236e-01   9.4691e-01
  2.5754e-01   8.9240e-01
  2.8350e-01   8.4351e-01
  3.1014e-01   7.9982e-01
  3.3736e-01   7.6092e-01
  3.6506e-01   7.2638e-01
  3.9315e-01   6.9579e-01
  4.2152e-01   6.6872e-01
  4.5008e-01   6.4475e-01
  4.7871e-01   6.2349e-01
  5.0733e-01   6.0465e-01
  5.3584e-01   5.8804e-01
  5.6414e-01   5.7344e-01
  5.9213e-01   5.6065e-01
  6.1974e-01   5.4947e-01
  6.4688e-01   5.3969e-01
  6.7345e-01   5.3111e-01
  6.9939e-01   5.2352e-01
  7.2463e-01   5.1671e-01
  7.4910e-01   5.1048e-01
  7.7274e-01   5.0462e-01
  7.9550e-01   4.9894e-01
  8.1735e-01   4.9322e-01
  8.3827e-01   4.8726e-01
  8.5824e-01   4.8085e-01
  8.7728e-01   4.7380e-01
  8.9543e-01   4.6588e-01
  9.1276e-01   4.5691e-01
  9.2936e-01   4.4666e-01
  9.4531e-01   4.3495e-01
  9.6062e-01   4.2156e-01
  9.7519e-01   3.9866e-01
  9.8881e-01   3.1028e-01
  1.0000e+00   8.1748e-02
