#    psi           Ti
  0.0000e+00   1.3191e+00
  2.0345e-03   1.3115e+00
  4.3867e-03   1.2974e+00
  7.8899e-03   1.2789e+00
  1.3856e-02   1.2569e+00
  2.1898e-02   1.2323e+00
  3.1368e-02   1.2061e+00
  4.2529e-02   1.1793e+00
  5.5295e-02   1.1525e+00
  6.9618e-02   1.1260e+00
  8.5439e-02   1.0998e+00
  1.0270e-01   1.0740e+00
  1.2133e-01   1.0484e+00
  1.4126e-01   1.0232e+00
  1.6242e-01   9.9825e-01
  1.8471e-01   9.7363e-01
  2.0805e-01   9.4933e-01
  2.3236e-01   9.2536e-01
  2.5754e-01   9.0170e-01
  2.8350e-01   8.7837e-01
  3.1014e-01   8.5536e-01
  3.3736e-01   8.3269e-01
  3.6506e-01   8.1035e-01
  3.9315e-01   7.8834e-01
  4.2152e-01   7.6666e-01
  4.5008e-01   7.4533e-01
  4.7871e-01   7.2434e-01
  5.0733e-01   7.0369e-01
  5.3584e-01   6.8338e-01
  5.6414e-01   6.6343e-01
  5.9213e-01   6.4382e-01
  6.1974e-01   6.2457e-01
  6.4688e-01   6.0567e-01
  6.7345e-01   5.8713e-01
  6.9939e-01   5.6895e-01
  7.2463e-01   5.5113e-01
  7.4910e-01   5.3367e-01
  7.7274e-01   5.1658e-01
  7.9550e-01   4.9987e-01
  8.1735e-01   4.8352e-01
  8.3827e-01   4.6755e-01
  8.5824e-01   4.5195e-01
  8.7728e-01   4.3673e-01
  8.9543e-01   4.2189e-01
  9.1276e-01   4.0744e-01
  9.2936e-01   3.9337e-01
  9.4531e-01   3.7968e-01
  9.6062e-01   3.6410e-01
  9.7519e-01   3.2737e-01
  9.8881e-01   2.4265e-01
  1.0000e+00   8.3070e-02
