#	   psi           ne
  0.0000e+00   5.8456e+13
  2.0345e-03   5.8376e+13
  4.3867e-03   5.8147e+13
  7.8899e-03   5.7791e+13
  1.3856e-02   5.7328e+13
  2.1898e-02   5.6777e+13
  3.1368e-02   5.6159e+13
  4.2529e-02   5.5494e+13
  5.5295e-02   5.4803e+13
  6.9618e-02   5.4105e+13
  8.5439e-02   5.3421e+13
  1.0270e-01   5.2769e+13
  1.2133e-01   5.2156e+13
  1.4126e-01   5.1580e+13
  1.6242e-01   5.1039e+13
  1.8471e-01   5.0532e+13
  2.0805e-01   5.0056e+13
  2.3236e-01   4.9610e+13
  2.5754e-01   4.9193e+13
  2.8350e-01   4.8802e+13
  3.1014e-01   4.8436e+13
  3.3736e-01   4.8094e+13
  3.6506e-01   4.7772e+13
  3.9315e-01   4.7470e+13
  4.2152e-01   4.7186e+13
  4.5008e-01   4.6918e+13
  4.7871e-01   4.6665e+13
  5.0733e-01   4.6424e+13
  5.3584e-01   4.6194e+13
  5.6414e-01   4.5973e+13
  5.9213e-01   4.5760e+13
  6.1974e-01   4.5553e+13
  6.4688e-01   4.5349e+13
  6.7345e-01   4.5148e+13
  6.9939e-01   4.4947e+13
  7.2463e-01   4.4745e+13
  7.4910e-01   4.4540e+13
  7.7274e-01   4.4331e+13
  7.9550e-01   4.4114e+13
  8.1735e-01   4.3890e+13
  8.3827e-01   4.3656e+13
  8.5824e-01   4.3411e+13
  8.7728e-01   4.3152e+13
  8.9543e-01   4.2877e+13
  9.1276e-01   4.2555e+13
  9.2936e-01   4.1763e+13
  9.4531e-01   3.9818e+13
  9.6062e-01   3.6032e+13
  9.7519e-01   2.9718e+13
  9.8881e-01   2.0409e+13
  1.0000e+00   8.7597e+12
